timestamp,no
2016-02-19 00:00:01,"0,3"
2016-02-19 00:00:24,"0,6"
2016-02-19 00:00:46,"0,3"
2016-02-19 00:01:08,"0,3"
2016-02-19 00:01:30,"0,3"
2016-02-19 00:01:53,"0,3"
2016-02-19 00:02:15,"0,3"
2016-02-19 00:02:37,"0,3"
2016-02-19 00:02:59,"0,3"
2016-02-19 00:03:22,"0,2"
2016-02-19 00:03:44,"0,2"
2016-02-19 00:04:06,"0,2"
2016-02-19 00:04:29,"0,3"
2016-02-19 00:04:51,"0,2"
2016-02-19 00:05:13,"0,3"
2016-02-19 00:05:35,"0,2"
2016-02-19 00:05:57,"0,3"
2016-02-19 00:06:20,"0,3"
2016-02-19 00:06:42,"0,3"
2016-02-19 00:07:04,"0,3"
2016-02-19 00:07:26,"0,3"
2016-02-19 00:07:49,"0,3"
2016-02-19 00:08:11,"0,4"
2016-02-19 00:08:33,"0,3"
2016-02-19 00:08:55,"0,2"
2016-02-19 00:09:18,"0,2"
2016-02-19 00:09:40,"0,3"
2016-02-19 00:10:02,"0,2"
2016-02-19 00:10:24,"0,2"
2016-02-19 00:10:46,"0,2"
2016-02-19 00:11:09,"0,2"
2016-02-19 00:11:32,"0,3"
2016-02-19 00:11:54,"0,5"
2016-02-19 00:12:16,"0,2"
2016-02-19 00:12:38,"15,2"
2016-02-19 00:13:00,"7,4"
2016-02-19 00:13:23,6
2016-02-19 00:13:45,"3,8"
2016-02-19 00:14:07,4
2016-02-19 00:14:29,"2,7"
2016-02-19 00:14:52,"2,4"
2016-02-19 00:15:14,"2,4"
2016-02-19 00:15:36,"2,2"
2016-02-19 00:15:58,"1,4"
2016-02-19 00:16:21,"0,6"
2016-02-19 00:16:43,"1,1"
2016-02-19 00:17:05,"1,9"
2016-02-19 00:17:27,"3,8"
2016-02-19 00:17:50,"4,5"
2016-02-19 00:18:12,"3,9"
2016-02-19 00:18:34,"3,9"
2016-02-19 00:18:57,"2,9"
2016-02-19 00:19:19,"2,5"
2016-02-19 00:19:41,"2,1"
2016-02-19 00:20:04,"2,2"
2016-02-19 00:20:26,"1,8"
