timestamp,no
2016-01-21 16:32:00,"79,8"
2016-01-21 16:32:22,"80,6"
2016-01-21 16:32:45,"80,3"
2016-01-21 16:33:07,"79,5"
2016-01-21 16:33:30,81
2016-01-21 16:33:52,"80,2"
2016-01-21 16:34:14,"80,4"
2016-01-21 16:34:37,80
2016-01-21 16:35:00,"46,9"
2016-01-21 16:35:22,"39,8"
2016-01-21 16:35:45,"40,4"
2016-01-21 16:36:07,"40,8"
2016-01-21 16:36:29,"40,7"
2016-01-21 16:36:52,"40,6"
2016-01-21 16:37:14,"40,5"
2016-01-21 16:37:36,"40,6"
2016-01-21 16:37:59,"40,2"
2016-01-21 16:38:21,"40,2"
2016-01-21 16:38:43,"27,6"
2016-01-21 16:39:06,"27,6"
2016-01-21 16:39:28,"28,1"
2016-01-21 16:39:51,"27,9"
2016-01-21 16:40:13,"27,9"
2016-01-21 16:40:35,"28,1"
2016-01-21 16:40:58,"19,9"
2016-01-21 16:41:20,"19,9"
2016-01-21 16:41:42,"19,8"
2016-01-21 16:42:05,20
2016-01-21 16:42:28,"19,7"
2016-01-21 16:42:51,"19,9"
2016-01-21 16:43:14,"9,8"
2016-01-21 16:43:36,"9,4"
2016-01-21 16:43:58,"9,3"
2016-01-21 16:44:20,"9,5"
2016-01-21 16:44:43,"9,5"
2016-01-21 16:45:05,"9,6"
2016-01-21 16:45:27,"4,3"
2016-01-21 16:45:50,"3,8"
2016-01-21 16:46:13,"3,5"
2016-01-21 16:46:35,"3,5"
2016-01-21 16:47:00,"3,6"
2016-01-21 16:47:22,"3,4"
2016-01-21 16:47:46,"2,4"
2016-01-21 16:48:08,"1,3"
2016-01-21 16:48:34,"1,1"
2016-01-21 16:48:57,"0,8"
2016-01-21 16:49:19,"0,9"
2016-01-21 16:49:41,"0,8"
2016-01-21 16:50:04,"0,7"
2016-01-21 16:50:26,"0,6"
2016-01-21 16:50:49,"0,5"
2016-01-21 16:51:11,"0,4"
2016-01-21 16:51:34,"0,6"
2016-01-21 16:51:56,"0,4"
2016-01-21 16:52:19,"0,4"
2016-01-21 16:52:41,"0,3"
2016-01-21 16:53:04,"0,4"
2016-01-21 16:53:26,"0,3"
2016-01-21 16:53:49,"0,2"
2016-01-21 16:54:11,"0,3"
2016-01-21 16:54:34,"0,3"
2016-01-21 16:54:40,"0,3"
2016-01-21 16:56:15,20
2016-01-21 16:56:38,"18,5"
2016-01-21 16:57:01,"14,8"
2016-01-21 16:57:23,"11,5"
2016-01-21 16:57:46,"6,1"
2016-01-21 16:58:08,"7,9"
2016-01-21 16:58:30,"9,2"
2016-01-21 16:58:52,"5,9"
2016-01-21 16:59:14,"2,6"
2016-01-21 16:59:37,"8,3"
2016-01-21 16:59:59,"9,3"
2016-01-21 17:00:21,"7,1"
2016-01-21 17:00:44,"4,4"
2016-01-21 17:01:06,4
2016-01-21 17:01:28,"6,3"
2016-01-21 17:01:50,"3,7"
2016-01-21 17:02:12,"6,1"
2016-01-21 17:02:34,"2,4"
2016-01-21 17:02:57,"1,4"
2016-01-21 17:03:19,"2,2"
2016-01-21 17:03:41,"4,9"
2016-01-21 17:04:03,"6,7"
2016-01-21 17:04:26,"6,8"
2016-01-21 17:04:48,"7,4"
2016-01-21 17:05:10,"6,6"
2016-01-21 17:05:32,"10,5"
2016-01-21 17:05:54,"7,3"
2016-01-21 17:06:16,"4,2"
2016-01-21 17:06:39,"4,2"
2016-01-21 17:07:01,"3,6"
2016-01-21 17:07:23,"2,9"
2016-01-21 17:07:46,"2,9"
2016-01-21 17:08:08,"2,7"
2016-01-21 17:08:30,"3,2"
2016-01-21 17:08:52,"3,5"
2016-01-21 17:09:15,"4,2"
2016-01-21 17:09:37,"3,9"
2016-01-21 17:09:59,"8,4"
2016-01-21 17:10:21,"5,7"
2016-01-21 17:10:43,"4,4"
2016-01-21 17:11:06,"3,7"
2016-01-21 17:11:28,4
2016-01-21 17:11:50,"4,5"
2016-01-21 17:12:13,"3,8"
2016-01-21 17:12:35,"4,4"
2016-01-21 17:12:57,"2,8"
2016-01-21 17:13:19,3
2016-01-21 17:13:41,4
2016-01-21 17:14:03,"2,5"
2016-01-21 17:14:26,"1,6"
2016-01-21 17:14:48,"2,3"
2016-01-21 17:15:11,"0,8"
2016-01-21 17:15:34,"2,3"
2016-01-21 17:15:56,"2,6"
2016-01-21 17:16:18,"2,4"
2016-01-21 17:16:40,"1,6"
2016-01-21 17:17:02,"3,5"
2016-01-21 17:17:24,"3,8"
2016-01-21 17:17:47,"5,8"
2016-01-21 17:18:09,"3,2"
2016-01-21 17:18:31,"4,9"
2016-01-21 17:18:54,"4,5"
2016-01-21 17:19:16,"18,3"
2016-01-21 17:19:38,"13,6"
2016-01-21 17:20:01,6
2016-01-21 17:20:23,"6,1"
2016-01-21 17:20:45,"11,7"
2016-01-21 17:21:07,"7,1"
2016-01-21 17:21:29,"11,3"
2016-01-21 17:21:51,"6,3"
2016-01-21 17:22:14,"2,8"
2016-01-21 17:22:37,"2,9"
2016-01-21 17:22:59,"7,7"
2016-01-21 17:23:21,3
2016-01-21 17:23:43,"3,3"
2016-01-21 17:24:05,2
2016-01-21 17:24:28,"2,5"
2016-01-21 17:24:50,"1,6"
2016-01-21 17:25:12,"1,8"
2016-01-21 17:25:34,"2,4"
2016-01-21 17:25:56,"7,2"
2016-01-21 17:26:19,"7,5"
2016-01-21 17:26:41,"4,3"
2016-01-21 17:27:04,"6,1"
2016-01-21 17:27:26,"4,3"
2016-01-21 17:27:48,"6,1"
2016-01-21 17:28:10,"4,3"
2016-01-21 17:28:32,"3,5"
2016-01-21 17:28:55,"5,7"
2016-01-21 17:29:17,"3,9"
2016-01-21 17:29:39,"4,1"
2016-01-21 17:30:02,"4,8"
2016-01-21 17:30:24,"4,4"
2016-01-21 17:30:46,"5,2"
2016-01-21 17:31:08,"4,4"
2016-01-21 17:31:31,"4,8"
2016-01-21 17:31:53,"7,4"
2016-01-21 17:32:16,"7,5"
2016-01-21 17:32:38,"8,5"
2016-01-21 17:33:00,"6,6"
2016-01-21 17:33:23,"2,8"
2016-01-21 17:33:46,"5,2"
2016-01-21 17:34:08,"5,5"
2016-01-21 17:34:30,"7,6"
2016-01-21 17:34:52,"3,1"
2016-01-21 17:35:15,"1,8"
2016-01-21 17:35:37,"2,2"
2016-01-21 17:35:59,"1,5"
2016-01-21 17:36:21,"3,1"
2016-01-21 17:36:43,2
2016-01-21 17:37:05,"1,1"
2016-01-21 17:37:28,"1,6"
2016-01-21 17:37:50,"0,8"
2016-01-21 17:38:13,"0,6"
2016-01-21 17:38:35,"1,5"
2016-01-21 17:38:57,"1,5"
2016-01-21 17:39:19,"0,9"
2016-01-21 17:39:41,"2,2"
2016-01-21 17:40:04,"2,2"
2016-01-21 17:40:26,"2,3"
2016-01-21 17:40:48,"2,2"
2016-01-21 17:41:11,"0,8"
2016-01-21 17:41:33,"3,4"
2016-01-21 17:41:55,2
2016-01-21 17:42:17,"2,3"
2016-01-21 17:42:40,"3,5"
2016-01-21 17:43:02,"4,2"
2016-01-21 17:43:24,"3,8"
2016-01-21 17:43:46,"5,2"
2016-01-21 17:44:08,"4,5"
2016-01-21 17:44:31,"7,1"
2016-01-21 17:44:53,6
2016-01-21 17:45:16,9
2016-01-21 17:45:38,"1,5"
2016-01-21 17:46:00,"0,9"
2016-01-21 17:46:22,"1,3"
2016-01-21 17:46:44,"0,8"
2016-01-21 17:47:07,"0,4"
2016-01-21 17:47:29,"1,3"
2016-01-21 17:47:51,"1,6"
2016-01-21 17:48:13,2
2016-01-21 17:48:36,"3,2"
2016-01-21 17:48:58,"6,5"
2016-01-21 17:49:21,"6,5"
2016-01-21 17:49:43,"5,3"
2016-01-21 17:50:06,"3,1"
2016-01-21 17:50:28,"2,4"
2016-01-21 17:50:50,"2,9"
2016-01-21 17:51:12,"2,7"
2016-01-21 17:51:34,"4,8"
2016-01-21 17:51:57,3
2016-01-21 17:52:19,"1,4"
2016-01-21 17:52:42,"3,9"
2016-01-21 17:53:04,"4,6"
2016-01-21 17:53:26,"0,7"
2016-01-21 17:53:48,"4,6"
2016-01-21 17:54:10,"3,7"
2016-01-21 17:54:32,"3,3"
2016-01-21 17:54:55,
2016-01-21 17:55:17,"2,9"
2016-01-21 17:55:39,"4,9"
2016-01-21 17:56:02,"5,6"
2016-01-21 17:56:24,"3,9"
2016-01-21 17:56:46,"12,5"
2016-01-21 17:57:08,"2,6"
2016-01-21 17:57:31,"1,4"
2016-01-21 17:57:53,"2,9"
2016-01-21 17:58:15,"4,1"
2016-01-21 17:58:37,"2,9"
2016-01-21 17:58:59,"2,9"
2016-01-21 17:59:22,"0,8"
2016-01-21 17:59:44,2
2016-01-21 18:00:06,"5,6"
2016-01-21 18:00:28,"3,7"
2016-01-21 18:00:50,"4,2"
2016-01-21 18:01:13,"1,6"
2016-01-21 18:01:35,"2,2"
2016-01-21 18:01:57,"0,6"
2016-01-21 18:02:19,"2,4"
2016-01-21 18:02:41,"3,5"
2016-01-21 18:03:04,"2,3"
2016-01-21 18:03:27,"2,1"
2016-01-21 18:03:49,"4,3"
2016-01-21 18:04:11,"2,5"
2016-01-21 18:04:34,"1,5"
2016-01-21 18:04:56,"4,4"
2016-01-21 18:05:18,2
2016-01-21 18:05:40,"2,9"
2016-01-21 18:06:02,"1,7"
2016-01-21 18:06:24,2
2016-01-21 18:06:47,"1,7"
2016-01-21 18:07:10,"2,5"
2016-01-21 18:07:32,"1,5"
2016-01-21 18:07:54,"1,4"
2016-01-21 18:08:16,"1,9"
2016-01-21 18:08:38,2
2016-01-21 18:09:00,2
2016-01-21 18:09:23,"1,2"
2016-01-21 18:09:45,2
2016-01-21 18:10:07,"4,4"
2016-01-21 18:10:29,"9,5"
2016-01-21 18:10:53,"7,3"
2016-01-21 18:11:15,"5,2"
2016-01-21 18:11:37,"5,4"
2016-01-21 18:11:59,"7,8"
2016-01-21 18:12:22,"6,4"
2016-01-21 18:12:44,"6,6"
2016-01-21 18:13:06,"8,7"
2016-01-21 18:13:28,"6,5"
2016-01-21 18:13:51,"5,3"
2016-01-21 18:14:13,"3,3"
2016-01-21 18:14:36,"2,7"
2016-01-21 18:14:58,"3,2"
2016-01-21 18:15:21,"4,2"
2016-01-21 18:15:43,"6,4"
2016-01-21 18:16:05,"5,3"
2016-01-21 18:16:27,3
2016-01-21 18:16:49,"3,1"
2016-01-21 18:17:12,"4,7"
2016-01-21 18:17:34,"2,5"
2016-01-21 18:17:56,"2,1"
2016-01-21 18:18:19,"4,5"
2016-01-21 18:18:41,"2,2"
2016-01-21 18:19:04,"2,8"
2016-01-21 18:19:26,4
2016-01-21 18:19:48,"3,1"
2016-01-21 18:20:10,"4,5"
2016-01-21 18:20:33,"5,1"
2016-01-21 18:20:55,"4,6"
2016-01-21 18:21:17,"2,7"
2016-01-21 18:21:39,"2,9"
2016-01-21 18:22:02,"5,1"
2016-01-21 18:22:24,"2,2"
2016-01-21 18:22:46,"3,4"
2016-01-21 18:23:09,"3,2"
2016-01-21 18:23:31,"7,2"
2016-01-21 18:23:53,"4,7"
2016-01-21 18:24:15,"4,1"
2016-01-21 18:24:37,"7,3"
2016-01-21 18:24:59,"5,2"
2016-01-21 18:25:22,"3,2"
2016-01-21 18:25:45,"5,6"
