no,timestamp
0.6,2016-02-20T00:00:05+01:00
0.2,2016-02-20T00:00:27+01:00
0.3,2016-02-20T00:00:49+01:00
1.2,2016-02-20T00:01:11+01:00
0.7,2016-02-20T00:01:34+01:00
0.2,2016-02-20T00:01:56+01:00
0.1,2016-02-20T00:02:18+01:00
0.4,2016-02-20T00:02:40+01:00
0.6,2016-02-20T00:03:03+01:00
0.4,2016-02-20T00:03:25+01:00
0.4,2016-02-20T00:03:47+01:00
0.5,2016-02-20T00:04:10+01:00
0.5,2016-02-20T00:04:32+01:00
0.3,2016-02-20T00:04:54+01:00
0.4,2016-02-20T00:05:16+01:00
0.5,2016-02-20T00:05:39+01:00
0.4,2016-02-20T00:06:01+01:00
0.4,2016-02-20T00:06:23+01:00
0.4,2016-02-20T00:06:45+01:00
0.5,2016-02-20T00:07:08+01:00
0.5,2016-02-20T00:07:30+01:00
0.5,2016-02-20T00:07:52+01:00
0.2,2016-02-20T00:08:14+01:00
0.4,2016-02-20T00:08:36+01:00
0.4,2016-02-20T00:08:59+01:00
0.7,2016-02-20T00:09:21+01:00
1.0,2016-02-20T00:09:43+01:00
0.6,2016-02-20T00:10:05+01:00
0.8,2016-02-20T00:10:28+01:00
0.9,2016-02-20T00:10:50+01:00
0.6,2016-02-20T00:11:13+01:00
0.7,2016-02-20T00:11:35+01:00
0.8,2016-02-20T00:11:57+01:00
0.7,2016-02-20T00:12:19+01:00
1.0,2016-02-20T00:12:41+01:00
1.0,2016-02-20T00:13:04+01:00
0.9,2016-02-20T00:13:26+01:00
1.1,2016-02-20T00:13:48+01:00
0.7,2016-02-20T00:14:10+01:00
0.7,2016-02-20T00:14:33+01:00
0.5,2016-02-20T00:14:55+01:00
0.3,2016-02-20T00:15:17+01:00
0.1,2016-02-20T00:15:40+01:00
0.3,2016-02-20T00:16:02+01:00
0.2,2016-02-20T00:16:24+01:00
0.2,2016-02-20T00:16:46+01:00
0.1,2016-02-20T00:17:09+01:00
0.2,2016-02-20T00:17:31+01:00
0.2,2016-02-20T00:17:53+01:00
0.3,2016-02-20T00:18:16+01:00
0.4,2016-02-20T00:18:38+01:00
0.6,2016-02-20T00:19:01+01:00
0.6,2016-02-20T00:19:23+01:00
0.2,2016-02-20T00:19:45+01:00
0.1,2016-02-20T00:20:07+01:00
0.3,2016-02-20T00:20:30+01:00
0.6,2016-02-20T00:20:52+01:00
0.8,2016-02-20T00:21:14+01:00
0.6,2016-02-20T00:21:36+01:00
0.6,2016-02-20T00:21:59+01:00
0.3,2016-02-20T00:22:21+01:00
0.4,2016-02-20T00:22:43+01:00
0.5,2016-02-20T00:23:05+01:00
0.6,2016-02-20T00:23:28+01:00
0.5,2016-02-20T00:23:50+01:00
0.6,2016-02-20T00:24:12+01:00
0.7,2016-02-20T00:24:34+01:00
0.8,2016-02-20T00:24:57+01:00
1.1,2016-02-20T00:25:19+01:00
0.8,2016-02-20T00:25:41+01:00
0.7,2016-02-20T00:26:04+01:00
0.8,2016-02-20T00:26:26+01:00
1.0,2016-02-20T00:26:48+01:00
0.7,2016-02-20T00:27:10+01:00
0.9,2016-02-20T00:27:33+01:00
1.1,2016-02-20T00:27:55+01:00
1.2,2016-02-20T00:28:17+01:00
1.4,2016-02-20T00:28:39+01:00
2.1,2016-02-20T00:29:02+01:00
1.1,2016-02-20T00:29:24+01:00
1.3,2016-02-20T00:29:46+01:00
1.0,2016-02-20T00:30:08+01:00
1.0,2016-02-20T00:30:31+01:00
0.9,2016-02-20T00:30:53+01:00
0.9,2016-02-20T00:31:15+01:00
0.8,2016-02-20T00:31:37+01:00
0.4,2016-02-20T00:31:59+01:00
0.3,2016-02-20T00:32:22+01:00
0.5,2016-02-20T00:32:44+01:00
0.3,2016-02-20T00:33:07+01:00
0.5,2016-02-20T00:33:29+01:00
0.5,2016-02-20T00:33:51+01:00
0.4,2016-02-20T00:34:13+01:00
0.4,2016-02-20T00:34:35+01:00
0.7,2016-02-20T00:34:58+01:00
0.4,2016-02-20T00:35:20+01:00
0.3,2016-02-20T00:35:42+01:00
0.1,2016-02-20T00:36:04+01:00
0.2,2016-02-20T00:36:27+01:00
0.2,2016-02-20T00:36:49+01:00
0.3,2016-02-20T00:37:11+01:00
0.4,2016-02-20T00:37:33+01:00
0.4,2016-02-20T00:37:56+01:00
0.6,2016-02-20T00:38:18+01:00
0.7,2016-02-20T00:38:40+01:00
0.5,2016-02-20T00:39:02+01:00
0.8,2016-02-20T00:39:24+01:00
0.9,2016-02-20T00:39:47+01:00
0.5,2016-02-20T00:40:09+01:00
0.5,2016-02-20T00:40:32+01:00
0.3,2016-02-20T00:40:54+01:00
0.3,2016-02-20T00:41:16+01:00
0.3,2016-02-20T00:41:39+01:00
0.2,2016-02-20T00:42:01+01:00
0.1,2016-02-20T00:42:23+01:00
0.2,2016-02-20T00:42:45+01:00
0.1,2016-02-20T00:43:08+01:00
0.1,2016-02-20T00:43:30+01:00
0.2,2016-02-20T00:43:52+01:00
0.2,2016-02-20T00:44:14+01:00
0.2,2016-02-20T00:44:37+01:00
0.3,2016-02-20T00:44:59+01:00
0.2,2016-02-20T00:45:21+01:00
0.4,2016-02-20T00:45:43+01:00
1.1,2016-02-20T00:46:06+01:00
0.5,2016-02-20T00:46:28+01:00
0.9,2016-02-20T00:46:50+01:00
0.3,2016-02-20T00:47:12+01:00
0.9,2016-02-20T00:47:34+01:00
0.8,2016-02-20T00:47:57+01:00
0.6,2016-02-20T00:48:19+01:00
0.4,2016-02-20T00:48:42+01:00
0.3,2016-02-20T00:49:04+01:00
0.3,2016-02-20T00:49:26+01:00
0.3,2016-02-20T00:49:48+01:00
0.2,2016-02-20T00:50:10+01:00
0.2,2016-02-20T00:50:33+01:00
0.3,2016-02-20T00:50:55+01:00
0.4,2016-02-20T00:51:17+01:00
0.3,2016-02-20T00:51:39+01:00
0.5,2016-02-20T00:52:02+01:00
0.4,2016-02-20T00:52:24+01:00
0.2,2016-02-20T00:52:47+01:00
0.4,2016-02-20T00:53:09+01:00
0.4,2016-02-20T00:53:31+01:00
0.3,2016-02-20T00:53:53+01:00
0.2,2016-02-20T00:54:15+01:00
0.1,2016-02-20T00:54:38+01:00
0.1,2016-02-20T00:55:00+01:00
0.1,2016-02-20T00:55:23+01:00
0.2,2016-02-20T00:55:45+01:00
0.2,2016-02-20T00:56:07+01:00
0.2,2016-02-20T00:56:29+01:00
0.1,2016-02-20T00:56:52+01:00
0.1,2016-02-20T00:57:14+01:00
0.2,2016-02-20T00:57:36+01:00
0.1,2016-02-20T00:57:58+01:00
0.1,2016-02-20T00:58:21+01:00
0.1,2016-02-20T00:58:43+01:00
0.2,2016-02-20T00:59:05+01:00
0.2,2016-02-20T00:59:27+01:00
0.3,2016-02-20T00:59:49+01:00
0.3,2016-02-20T01:00:12+01:00
0.5,2016-02-20T01:00:34+01:00
0.5,2016-02-20T01:00:57+01:00
0.5,2016-02-20T01:01:19+01:00
0.4,2016-02-20T01:01:41+01:00
0.5,2016-02-20T01:02:03+01:00
0.6,2016-02-20T01:02:25+01:00
0.5,2016-02-20T01:02:48+01:00
0.3,2016-02-20T01:03:11+01:00
0.3,2016-02-20T01:03:33+01:00
0.3,2016-02-20T01:03:55+01:00
0.4,2016-02-20T01:04:17+01:00
0.4,2016-02-20T01:04:40+01:00
0.3,2016-02-20T01:05:02+01:00
0.3,2016-02-20T01:05:24+01:00
0.3,2016-02-20T01:05:46+01:00
