no,timestamp
39.8,2016-01-21T16:35:22+01:00
40.4,2016-01-21T16:35:45+01:00
40.8,2016-01-21T16:36:07+01:00
40.7,2016-01-21T16:36:29+01:00
40.6,2016-01-21T16:36:52+01:00
40.5,2016-01-21T16:37:14+01:00
40.6,2016-01-21T16:37:36+01:00
40.2,2016-01-21T16:37:59+01:00
40.2,2016-01-21T16:38:21+01:00
27.6,2016-01-21T16:38:43+01:00
27.6,2016-01-21T16:39:06+01:00
28.1,2016-01-21T16:39:28+01:00
27.9,2016-01-21T16:39:51+01:00
27.9,2016-01-21T16:40:13+01:00
28.1,2016-01-21T16:40:35+01:00
19.9,2016-01-21T16:40:58+01:00
19.9,2016-01-21T16:41:20+01:00
19.8,2016-01-21T16:41:42+01:00
20.0,2016-01-21T16:42:05+01:00
19.7,2016-01-21T16:42:28+01:00
19.9,2016-01-21T16:42:51+01:00
9.8,2016-01-21T16:43:14+01:00
9.4,2016-01-21T16:43:36+01:00
9.3,2016-01-21T16:43:58+01:00
9.5,2016-01-21T16:44:20+01:00
9.5,2016-01-21T16:44:43+01:00
9.6,2016-01-21T16:45:05+01:00
4.3,2016-01-21T16:45:27+01:00
3.8,2016-01-21T16:45:50+01:00
3.5,2016-01-21T16:46:13+01:00
3.5,2016-01-21T16:46:35+01:00
3.6,2016-01-21T16:47:00+01:00
3.4,2016-01-21T16:47:22+01:00
2.4,2016-01-21T16:47:46+01:00
1.3,2016-01-21T16:48:08+01:00
1.1,2016-01-21T16:48:34+01:00
0.8,2016-01-21T16:48:57+01:00
0.9,2016-01-21T16:49:19+01:00
0.8,2016-01-21T16:49:41+01:00
0.7,2016-01-21T16:50:04+01:00
0.6,2016-01-21T16:50:26+01:00
0.5,2016-01-21T16:50:49+01:00
0.4,2016-01-21T16:51:11+01:00
0.6,2016-01-21T16:51:34+01:00
0.4,2016-01-21T16:51:56+01:00
0.4,2016-01-21T16:52:19+01:00
0.3,2016-01-21T16:52:41+01:00
0.4,2016-01-21T16:53:04+01:00
0.3,2016-01-21T16:53:26+01:00
0.2,2016-01-21T16:53:49+01:00
0.3,2016-01-21T16:54:11+01:00
0.3,2016-01-21T16:54:34+01:00
0.3,2016-01-21T16:54:40+01:00
