index,timestamp,no2,no2_err,h2o,h2o_err,o3,o3_err,chocho,chocho_err
0,2016-01-15T15:58:34+01:00,4.35066888178394,0.0486233358042016,2538256.03698763,686984.262468385,359.3891071778,873.407341487433,0.118392220479594,0.0720992370062476
1,2016-01-15T16:00:35+01:00,11.4662287434537,0.0487004581652496,4689364.20328461,681703.964537565,-278.943946910661,865.576351940857,0.291832878155328,0.0712890828336449
2,2016-01-15T16:02:36+01:00,11.1525940980426,0.0493706463930949,4354157.87511966,691362.204218648,-521.42619557835,877.913877910487,0.182702774259469,0.0723626586026746
3,2016-01-15T16:04:38+01:00,11.598383580157,0.0475396133980781,3911398.20921124,664633.6586088,281.079064393396,844.79077419653,0.190527510353114,0.0695442065425359
4,2016-01-15T16:06:39+01:00,12.6873685054173,0.051755626312889,4800739.36420842,723160.944131496,345.411325505116,918.148370727369,0.184111204324609,0.0756843900038151
5,2016-01-15T16:08:41+01:00,13.4824018388942,0.0527509033516309,4683012.56841967,736167.022618756,-59.5000201633959,934.668842577794,0.294812210041561,0.0770500439576278
6,2016-01-15T16:10:42+01:00,13.7513931251785,0.053988208792877,3493842.59329966,752347.943456569,-205.148944194035,956.20425689072,0.246737347878835,0.0787964626256696
7,2016-01-15T16:12:43+01:00,13.2472652469474,0.0512256817616124,4244280.25072545,714394.010033466,115.513266350632,907.963973861945,0.198958223854709,0.0748624792066771
8,2016-01-15T16:14:45+01:00,14.4580606535907,0.0516657860370486,4651846.74081977,719951.056485415,72.2948365344882,914.055925457713,0.262049270584525,0.0754124394431826
9,2016-01-15T16:16:46+01:00,15.5463534042611,0.0508189520796269,3224141.37027766,706244.704651711,438.533774319047,897.543104928518,0.243313943964815,0.0740514140307951
10,2016-01-15T16:18:47+01:00,14.6589011925651,0.0509479661848174,4349545.14476723,709687.356810612,-98.1935569543896,901.074199319728,0.312742146835049,0.074307497370963
11,2016-01-15T16:20:49+01:00,13.5344644895394,0.0515581472704437,3913562.34408334,718720.017904103,-267.930911635658,913.46663950241,0.320094827441965,0.0753247237815877
12,2016-01-15T16:22:50+01:00,14.620901009575,0.0526456363860593,4508093.68002545,733400.711014029,210.044547542012,931.147393327468,0.152184359881741,0.0768186418452896
13,2016-01-15T16:24:52+01:00,12.9799023177057,0.0529891517163766,3236370.78311367,739288.037289631,826.130943708003,939.629296912973,0.298077594802533,0.0774833178860794
14,2016-01-15T16:26:53+01:00,12.5455370331952,0.0507479025572457,3625266.72366326,708481.072892505,128.434906813761,900.479293399363,0.139032519243154,0.0743058343057261
15,2016-01-15T16:28:55+01:00,12.3769423548013,0.050775224565656,4012834.97018371,709042.008223612,-207.905336002019,901.200816740786,0.213482357885051,0.0742849516530651
16,2016-01-15T16:30:56+01:00,11.4315845584981,0.0509412004549116,3871448.40613165,712366.398766742,-97.8786301836423,905.455271920791,0.171405175206349,0.0747125509721305
17,2016-01-15T16:32:58+01:00,11.5492239959021,0.0528647100001608,4572039.77130023,739887.222412001,213.933487368211,939.483686746616,0.193880431773976,0.0774238145001087
18,2016-01-15T16:35:00+01:00,11.8508134456411,0.0505586422932734,3749645.53922532,706574.731509718,134.686648288916,898.086204497255,0.221999835148922,0.0739967726167792
