index,timestamp,no2,no2_err,h2o,h2o_err,o3,o3_err,chocho,chocho_err
0,2016-02-22T10:42:44+01:00,7.95658889551521,0.0653100505114418,3665141.91075972,925594.721589852,35.5115197644284,1149.0426000682,-0.0438098877444858,0.0906710359435963
1,2016-02-22T10:45:06+01:00,16.6386278944012,0.106270597308685,4366542.36753126,1486963.22039045,-928.749504463599,1845.33478910489,-0.273393944984724,0.145888875629377
2,2016-02-22T10:47:27+01:00,15.4715572588364,0.101923822698394,4241770.73354746,1428662.5383808,-577.403950806126,1773.10058674671,-0.227906717771066,0.140071302491953
3,2016-02-22T10:49:48+01:00,10.3371454344813,0.0763960025413429,4082024.36935253,1079010.93990976,-530.046244473469,1339.39057402859,-0.138007518366625,0.105743751412398
4,2016-02-22T10:52:09+01:00,7.76439267204199,0.0668392742041499,3313757.52455168,947529.411157991,-557.083679993495,1176.23377661221,-0.169339349247831,0.0929481777345467
5,2016-02-22T10:54:31+01:00,8.22372591963879,0.068541740069891,4078753.95647367,971028.008644958,-396.288240653439,1205.41830683525,-0.144930054457847,0.0951933503138831
6,2016-02-22T10:56:52+01:00,8.77006511051605,0.0693255285753689,4317813.80993358,981366.105158771,-747.708394567915,1218.20596070674,-0.151559260213501,0.0962637747871585
7,2016-02-22T10:59:13+01:00,6.83990778304731,0.0633115203805208,3131183.17920424,898690.445341952,-368.930522951485,1115.69981935235,-0.117678997005783,0.0879921674794024
8,2016-02-22T11:01:35+01:00,7.09660748453661,0.0632309257477434,3530116.91294589,897223.359783837,83.1989052091619,1113.83700558288,-0.101571457038879,0.0879317885213849
9,2016-02-22T11:03:56+01:00,6.82570684848646,0.0612142399469502,3071248.53660776,868939.161557171,-621.794514089097,1078.72616630379,-0.164797031885667,0.0851629744113328
10,2016-02-22T11:06:17+01:00,6.34421915249737,0.0612701446485508,3035792.97096914,870324.263798791,-554.534457295014,1080.44147431652,-0.151193464949462,0.0853890367544025
11,2016-02-22T11:08:39+01:00,4.9913551689156,0.0557590492041254,3004751.80778007,793579.932361054,-174.251215920665,985.248501103287,-0.159363405867672,0.0777656267272987
12,2016-02-22T11:11:00+01:00,6.21679568557434,0.0601035950614181,2490919.76674936,853902.153342449,-127.18044213466,1060.14919875907,-0.186307810459918,0.083561634059981
13,2016-02-22T11:13:21+01:00,6.44507800925106,0.0630793772649582,3231524.55318277,895893.277123504,-977.806079166491,1112.26005286213,-0.124321235017276,0.0877040705745217
14,2016-02-22T11:15:42+01:00,4.75350594280904,0.0575684622925984,2401341.41906158,819595.271577151,-723.37244395136,1017.58890905924,-0.196343520653109,0.080228906351094
15,2016-02-22T11:18:04+01:00,4.4270181155343,0.052769749543563,2917454.32059762,751610.975684233,-407.378098072771,933.179054207238,-0.123363670099955,0.0735870104526153
16,2016-02-22T11:20:25+01:00,4.68273315743502,0.0576263954389272,2396647.02300504,820502.515526519,-513.912633110534,1018.65313841858,-0.0737574857585221,0.0804891598199968
17,2016-02-22T11:22:46+01:00,4.96750536910625,0.0523781772532168,2390481.47561265,745486.149543889,-443.129569385574,925.526992279758,-0.130044201513968,0.0730674198521037
18,2016-02-22T11:25:08+01:00,3.15466478598738,0.0489428900813726,2429651.03478381,698305.551852493,-629.203885993609,867.043414999568,-0.200999567217462,0.0683323450684406
19,2016-02-22T11:27:29+01:00,3.76079402428521,0.055906963816097,2522585.42192743,797016.916985754,-638.624382361048,989.517908229581,-0.122190903113896,0.078179711132396
20,2016-02-22T11:29:50+01:00,4.082471020101,0.0554213188425524,1843200.76543078,789746.126233601,-728.293798954,980.556822119207,-0.145873228160579,0.077277506814057
21,2016-02-22T11:32:11+01:00,4.09270952052947,0.0547428520156997,1751857.98338224,780068.30389796,-520.222327051653,968.514311658661,-0.114675378514098,0.0763833011145782
22,2016-02-22T11:34:33+01:00,3.45135628758725,0.0520605376838441,3132625.12713365,742488.065971765,-641.956061394625,921.927249150686,-0.125928185691689,0.0725710496061327
23,2016-02-22T11:36:54+01:00,3.41917756474375,0.0534182609738939,2018787.45395858,761887.405117135,-265.455647899257,945.960162603784,-0.12028816551233,0.0745868710109471
24,2016-02-22T11:39:15+01:00,3.22586198727348,0.051068622145826,2639937.65195776,728567.066643598,-43.384544368453,904.568899148381,-0.0881924542490123,0.0714046272927399
25,2016-02-22T11:41:37+01:00,3.32048546398719,0.0514772094329441,2732666.01423819,734302.239626798,-144.850686733373,911.662071491504,-0.211963211523702,0.0720129401986879
26,2016-02-22T11:43:58+01:00,3.19061747306849,0.0532095707072575,2162904.80330445,759147.302307718,-414.486494218522,942.507518236682,-0.083408569828037,0.0744857052009518
27,2016-02-22T11:46:19+01:00,3.59882165969188,0.0533138580713412,2099267.69670004,760213.732828308,328.08007454003,943.90572369482,-0.167400058131458,0.0743742187070586
28,2016-02-22T11:48:41+01:00,3.42539142673388,0.0503630498099404,2580868.89026579,718306.66893566,-544.420372240563,891.837649894981,-0.0743414442516376,0.0703639267548873
29,2016-02-22T11:51:02+01:00,3.22259455657761,0.0504253541091244,2592572.49829987,719391.806714358,-589.957544039488,893.222507219001,-0.143550148747181,0.070416028201073
30,2016-02-22T11:53:23+01:00,4.33355765518762,0.0544617414499488,3075646.70207702,775809.646989665,-477.223766029546,963.221739088002,-0.0402565347821275,0.0759818283697201
31,2016-02-22T11:55:44+01:00,5.36328796495499,0.057792628269518,2206789.10193752,822102.307158666,-545.603807288999,1020.66663515284,-0.107213139839394,0.0804884975574172
