index,timestamp,no2,no2_err,o3,o3_err,h2o,h2o_err,nox,nox_err,no
0,2016-02-22T10:42:44+01:00,7.95658889551521,0.0653100505114418,35.5115197644284,1149.0426000682,3665141.91075972,925594.721589852,,,
1,2016-02-22T10:43:55+01:00,,,2882.62884809316,1866.32015106246,3903930.77976969,1503851.60074163,16.2566628142127,0.107415206400888,3.9590544192544943
2,2016-02-22T10:45:06+01:00,16.6386278944012,0.106270597308685,-928.749504463599,1845.33478910489,4366542.36753126,1486963.22039045,,,
3,2016-02-22T10:46:16+01:00,,,2587.18198061541,1979.87702335278,4272829.70240693,1595428.677505,17.7000032436948,0.114207158635106,1.640772118722932
4,2016-02-22T10:47:27+01:00,15.4715572588364,0.101923822698394,-577.403950806126,1773.10058674671,4241770.73354746,1428662.5383808,,,
5,2016-02-22T10:48:38+01:00,,,2438.65996647698,1736.17221507061,3828249.81785127,1398915.48322694,14.5806201843574,0.0996676260001644,1.694475971827469
6,2016-02-22T10:49:48+01:00,10.3371454344813,0.0763960025413429,-530.046244473469,1339.39057402859,4082024.36935253,1079010.93990976,,,
7,2016-02-22T10:50:59+01:00,,,2828.66443510416,1303.36096429051,3642236.38805852,1049970.59091174,9.31928458200006,0.074230481187959,0.27763876548465305
8,2016-02-22T10:52:09+01:00,7.76439267204199,0.0668392742041499,-557.083679993495,1176.23377661221,3313757.52455168,947529.411157991,,,
9,2016-02-22T10:53:20+01:00,,,2541.13329136179,1124.5537823362,3716648.02787163,905867.763635704,7.61290572865782,0.0638867897065253,-0.38115356718257054
10,2016-02-22T10:54:31+01:00,8.22372591963879,0.068541740069891,-396.288240653439,1205.41830683525,4078753.95647367,971028.008644958,,,
11,2016-02-22T10:55:42+01:00,,,2717.07643974043,1162.41125366764,4066707.30761737,936352.876581942,7.86010113090216,0.0660599460999529,-0.6387317571925566
12,2016-02-22T10:56:52+01:00,8.77006511051605,0.0693255285753689,-747.708394567915,1218.20596070674,4317813.80993358,981366.105158771,,,
13,2016-02-22T10:58:03+01:00,,,2722.3835540536,1160.9162173335,2883257.42526556,935181.70077334,7.98306311536912,0.0659887620293587,0.184921198117471
14,2016-02-22T10:59:13+01:00,6.83990778304731,0.0633115203805208,-368.930522951485,1115.69981935235,3131183.17920424,898690.445341952,,,
15,2016-02-22T11:00:24+01:00,,,2571.83313096643,1143.33325652294,2405287.77685846,920976.061572249,7.19230678570122,0.0649136666293414,0.22404915190926022
16,2016-02-22T11:01:35+01:00,7.09660748453661,0.0632309257477434,83.1989052091619,1113.83700558288,3530116.91294589,897223.359783837,,,
17,2016-02-22T11:02:46+01:00,,,2831.63573461792,1203.38476337437,3885328.10279289,969418.463105436,8.56235928577591,0.0684611463302892,1.6021627598177446
18,2016-02-22T11:03:56+01:00,6.82570684848646,0.0612142399469502,-621.794514089097,1078.72616630379,3071248.53660776,868939.161557171,,,
19,2016-02-22T11:05:07+01:00,,,2349.79563153147,1100.55035285012,3089561.72741832,886544.355868786,6.97333779930977,0.0624672797817617,0.39008220199512156
20,2016-02-22T11:06:17+01:00,6.34421915249737,0.0612701446485508,-554.534457295014,1080.44147431652,3035792.97096914,870324.263798791,,,
21,2016-02-22T11:07:28+01:00,,,2690.36414172732,1034.64682297123,2930400.14402628,833393.899597744,5.11756494307584,0.0585662428166392,-0.5502222176306448
22,2016-02-22T11:08:39+01:00,4.9913551689156,0.0557590492041254,-174.251215920665,985.248501103287,3004751.80778007,793579.932361054,,,
23,2016-02-22T11:09:50+01:00,,,2588.90435395601,1295.81641691926,2869433.51690254,1043903.66627481,9.88454513617448,0.0738617509705585,4.276124175182494
24,2016-02-22T11:11:00+01:00,6.21679568557434,0.0601035950614181,-127.18044213466,1060.14919875907,2490919.76674936,853902.153342449,,,
25,2016-02-22T11:12:11+01:00,,,2838.55871285718,1128.17221941097,2999536.9474115,908801.642277439,7.48535320438877,0.0640820349788965,1.153606845189982
26,2016-02-22T11:13:21+01:00,6.44507800925106,0.0630793772649582,-977.806079166491,1112.26005286213,3231524.55318277,895893.277123504,,,
27,2016-02-22T11:14:32+01:00,,,2894.79464072446,1062.34064367609,2756070.90432478,855678.215514717,6.12539151408156,0.0602208349428938,0.5320980205566235
28,2016-02-22T11:15:42+01:00,4.75350594280904,0.0575684622925984,-723.37244395136,1017.58890905924,2401341.41906158,819595.271577151,,,
29,2016-02-22T11:16:53+01:00,,,2762.5733143185,1001.0474157878,2575305.85429674,806327.930596441,5.16110328752638,0.0566675608335488,0.5708412583547098
30,2016-02-22T11:18:04+01:00,4.4270181155343,0.052769749543563,-407.378098072771,933.179054207238,2917454.32059762,751610.975684233,,,
31,2016-02-22T11:19:15+01:00,,,2685.66089768202,985.419912911226,2643900.46432153,793763.187638571,4.95540240074262,0.0557688585277095,0.3996199733292336
32,2016-02-22T11:20:25+01:00,4.68273315743502,0.0576263954389272,-513.912633110534,1018.65313841858,2396647.02300504,820502.515526519,,,
33,2016-02-22T11:21:36+01:00,,,2656.42904995909,976.169694426404,1976735.60940592,786273.157782822,4.93992434171524,0.0552415894966372,0.11379524790676321
34,2016-02-22T11:22:46+01:00,4.96750536910625,0.0523781772532168,-443.129569385574,925.526992279758,2390481.47561265,745486.149543889,,,
35,2016-02-22T11:23:57+01:00,,,2803.23229464953,982.616984933743,1741257.96944182,791502.122374232,5.01989616330414,0.0556149226249374,0.9588110857573255
36,2016-02-22T11:25:08+01:00,3.15466478598738,0.0489428900813726,-629.203885993609,867.043414999568,2429651.03478381,698305.551852493,,,
