index,timestamp,no2,no2_err,h2o,h2o_err,o3,o3_err,chocho,chocho_err
19,2016-02-22T19:48:23+00:00,23.3709456788839,0.139993436891112,-4028132.04489971,1938422.23807504,2285.57729210385,2405.05699245675,-0.241189251659117,0.190117380002881
20,2016-02-22T19:48:53+00:00,23.400737978677,0.140481263486415,-3878988.99172696,1945091.4547393,2358.10944344323,2413.32241698631,-0.225822817444442,0.190851617778776
21,2016-02-22T19:49:23+00:00,23.472973893477,0.140595038933019,-3598572.39569797,1946446.21778011,2548.24146808621,2414.9791528012,-0.244841358402623,0.191025234335643
22,2016-02-22T19:49:53+00:00,23.4224186725828,0.139725031683333,-4335166.36382035,1934552.9645606,2227.03606968711,2400.2073717362,-0.325899092584608,0.189828847884326
23,2016-02-22T19:50:24+00:00,23.4343890175008,0.139841089526433,-4210455.90992605,1936124.74497414,2444.39214845217,2402.17860605792,-0.197529036065761,0.18998637381152
24,2016-02-22T19:50:54+00:00,23.4597293702111,0.140382427265793,-3476736.95888249,1943537.61344861,1877.52591842672,2411.39296943213,-0.251595507956468,0.190664075547069
25,2016-02-22T19:51:24+00:00,23.4925324318576,0.14065414687216,-3916594.57036881,1947203.35527048,2264.9362483453,2415.87914061803,-0.254172252063559,0.191118820554308
26,2016-02-22T19:51:54+00:00,23.4584101733365,0.142440271514829,-4238512.25475052,1972040.04276007,1999.95324235644,2446.71817710593,-0.234863575974109,0.193581842753734
27,2016-02-22T19:52:25+00:00,23.5037191291365,0.139799711929255,-3989061.05259822,1935334.40706849,2130.49628668658,2401.17088801456,-0.165928617993966,0.189871987852157
28,2016-02-22T19:52:55+00:00,23.5033815114684,0.141456379925928,-4326540.22000916,1958272.15792235,1970.52127517325,2429.65917333762,-0.24896753100631,0.19213770162045
29,2016-02-22T19:53:25+00:00,23.4607661899312,0.141392636155174,-3317208.85124294,1957520.70545482,1940.89794141488,2428.71768968708,-0.167634193041655,0.192052077209818
30,2016-02-22T19:53:56+00:00,23.5243704069771,0.141747204061972,-4422346.5723832,1962232.86896812,2400.75863856478,2434.55002084829,-0.208338370736084,0.192533578395479
31,2016-02-22T19:54:26+00:00,23.5236460126493,0.143002392912161,-2998353.19922329,1979612.29886331,2052.34447747746,2456.11550596789,-0.307472079425989,0.194257853099734
32,2016-02-22T19:54:56+00:00,23.4729976057086,0.145930307650066,-4089727.04984573,2020304.94088721,2169.08671414881,2506.63515938562,-0.22021168367903,0.198213802839618
33,2016-02-22T19:55:26+00:00,23.490213894388,0.13911230379351,-3735585.40555611,1925863.76534519,1730.56005077396,2389.42609201601,-0.208013811487762,0.188999157190802
34,2016-02-22T19:55:57+00:00,23.4885512922069,0.14444142651791,-3858809.1123494,1999645.67027477,1753.23829881398,2480.94285696931,-0.307249166724958,0.196262072972891
35,2016-02-22T19:56:27+00:00,23.5332646736711,0.140474038405772,-3881910.44443269,1944578.16006883,2493.29277600622,2412.65715032084,-0.179932351475874,0.190761873758595
36,2016-02-22T19:56:57+00:00,23.5088194941644,0.14322944471181,-3456846.7261403,1982796.94821605,1910.49555448674,2460.15167854306,-0.234972327373341,0.194463357887532
