flux,no2,no2_err,o3,o3_err,start,stop
0.3,0.43702905658934443,0.007376196224580995,11859.609153314415,131.7325525685821,36,117
0.2,0.15657798216184213,0.010144866890529645,11259.323608182942,181.3690165631213,125,170
0.1,0.0025134671960576524,0.009294919727794561,8091.4531183035415,165.9673866391356,175,228
0.05,-0.002343354206975483,0.009414343387773355,5036.018225908381,167.9123363926414,235,283
0.03,-0.011606565161768697,0.008938051557361245,3154.1419908339,159.05132915323884,290,345
