index,timestamp,no2,no2_err,h2o,h2o_err
0,2016-02-05T10:50:03+01:00,23.2912763378539,0.122673570175043,5955018.80221141,1785243.96458663
1,2016-02-05T10:50:06+01:00,23.0423096337448,0.113132477282166,7103851.68091446,1646818.69547983
2,2016-02-05T10:50:09+01:00,23.1603437201535,0.111774912786642,7950498.19629309,1626898.95555248
3,2016-02-05T10:50:11+01:00,23.4251164148837,0.109409226303226,6851408.42894466,1591966.91856531
4,2016-02-05T10:50:13+01:00,23.9604899769026,0.111927162521265,8391060.81990703,1627762.39279944
5,2016-02-05T10:50:16+01:00,24.4558233450273,0.111080473556276,6971107.7593151,1614640.91472693
6,2016-02-05T10:50:18+01:00,24.7679034849232,0.104759450696453,6193875.19771336,1522296.2702846
7,2016-02-05T10:50:20+01:00,24.7607632505271,0.11144125929343,6850485.01697623,1619403.62933848
8,2016-02-05T10:50:22+01:00,24.965901091872,0.116193769388571,6604873.30801012,1688086.47459051
9,2016-02-05T10:50:25+01:00,25.0473143354546,0.11185661762089,9304814.14872921,1625003.33247178
10,2016-02-05T10:50:27+01:00,25.0578352102941,0.115858418645714,9375163.78740644,1683131.90035489
11,2016-02-05T10:50:29+01:00,24.9266544631417,0.107163709418434,5316691.14390225,1556999.95249285
12,2016-02-05T10:50:31+01:00,25.0867059179054,0.113139055278605,6043943.13584241,1643542.27502337
13,2016-02-05T10:50:34+01:00,24.9767894968778,0.111539310485655,6173383.30189948,1620453.12390015
14,2016-02-05T10:50:36+01:00,24.983092010119,0.114052801123742,7460200.74993496,1656938.40292059
15,2016-02-05T10:50:38+01:00,25.1383950767117,0.116360420054379,7710921.28604821,1690268.62481467
16,2016-02-05T10:50:41+01:00,24.7597244090534,0.120056548028497,8288132.56883187,1744628.4381496
17,2016-02-05T10:50:43+01:00,24.3649511133674,0.107542081299378,7401494.7210123,1563376.88676185
18,2016-02-05T10:50:45+01:00,24.0618866332625,0.113396847035164,9042370.04167759,1648880.62055049
19,2016-02-05T10:50:47+01:00,24.0487554406105,0.107931514702886,6816383.20623111,1569519.18221674
20,2016-02-05T10:50:50+01:00,23.7608574997313,0.115071077588312,6752718.36829441,1673800.71061219
21,2016-02-05T10:50:52+01:00,23.0024929807101,0.110485150957149,7000603.06785557,1608384.26514824
22,2016-02-05T10:50:54+01:00,23.1231285567366,0.111885847450137,7553466.90993798,1628514.87956008
23,2016-02-05T10:50:57+01:00,23.3527723552336,0.113732002682145,6575812.45459154,1655006.98995624
24,2016-02-05T10:50:59+01:00,23.0720787522918,0.117816074319845,7370874.89668056,1714922.89892377
25,2016-02-05T10:51:01+01:00,23.1845944657528,0.105116513125058,8849125.32507219,1529943.64486413
26,2016-02-05T10:51:04+01:00,23.5404266942679,0.11449976080515,5303713.43258593,1665844.7744181
27,2016-02-05T10:51:06+01:00,23.8324750217589,0.107396294108537,5284360.83991039,1562069.80085539
28,2016-02-05T10:51:08+01:00,23.8065078569567,0.113588641156685,8750569.91954873,1652276.11215437
29,2016-02-05T10:51:10+01:00,23.4875329445366,0.114551304079763,6180781.16086216,1666709.3651491
30,2016-02-05T10:51:13+01:00,24.3618872490396,0.110378838696655,7979001.26229736,1604568.55677607
31,2016-02-05T10:51:15+01:00,25.5842417280077,0.121821284235235,5781660.46030587,1768805.05838467
32,2016-02-05T10:51:17+01:00,26.8285876700404,0.114630553579913,10183227.7970889,1666432.57018402
33,2016-02-05T10:51:20+01:00,26.840074234104,0.11571220521961,7239964.51086963,1677965.32217558
34,2016-02-05T10:51:22+01:00,26.382963472387,0.117080391413362,6994075.64914573,1698549.10994267
35,2016-02-05T10:51:24+01:00,26.9064062592347,0.118626126515548,9564158.02697212,1720101.86233864
36,2016-02-05T10:51:26+01:00,27.2917954690573,0.106837078002988,8988451.78628468,1548558.81537204
37,2016-02-05T10:51:29+01:00,27.3071020323676,0.118630488260644,9344666.68387049,1719509.05357247
38,2016-02-05T10:51:31+01:00,27.3524418289632,0.118061351824974,7685812.18972028,1711187.53233302
39,2016-02-05T10:51:33+01:00,26.5768481666355,0.11790163387158,9892229.50534441,1710149.08506711
40,2016-02-05T10:51:36+01:00,26.0089719629424,0.117541437539218,7046407.49410155,1705925.07974143
41,2016-02-05T10:51:38+01:00,26.3877876575901,0.112539111094989,7151623.70433578,1632650.20946061
42,2016-02-05T10:51:40+01:00,27.4587650185387,0.112385972750344,9615028.75753151,1628725.5498751
43,2016-02-05T10:51:42+01:00,28.3073339853923,0.111745899503146,10714203.7443807,1622324.51189038
44,2016-02-05T10:51:45+01:00,27.9375460462594,0.115237657602662,8762966.24745601,1669247.41005589
45,2016-02-05T10:51:47+01:00,27.4991282410632,0.111680658213795,8608299.60655507,1618457.94725126
46,2016-02-05T10:51:49+01:00,26.8330586884949,0.114863571147291,9769147.31161799,1665658.09171913
47,2016-02-05T10:51:52+01:00,25.9746821177251,0.113733816957156,9669761.11409879,1650711.47305258
48,2016-02-05T10:51:54+01:00,26.0068120294855,0.115579244169026,7889698.31829237,1677432.14165622
49,2016-02-05T10:51:56+01:00,25.5811444191217,0.108496960931566,5580875.54783098,1575334.70839545
50,2016-02-05T10:51:58+01:00,25.4116023453083,0.111456362518991,8230638.71306551,1618568.33291605
51,2016-02-05T10:52:01+01:00,26.0529981013698,0.116552436013743,7801884.99298167,1691546.07662571
52,2016-02-05T10:52:03+01:00,26.3130562737326,0.111888706265885,6620212.22217795,1623352.55496371
53,2016-02-05T10:52:05+01:00,26.3729674767813,0.111944427882016,8555869.80530666,1624078.45143779
